Page ID,Title,URL,Provincie,ADRESSE,API_STATUS,QUERY_USED,ERROR_MESSAGE,LAT,LNG,GEO_STATUS,GEO_ERROR
301,Kasteel de hoof teuven,https://kastelenbelgie.be/nl/kasteel-de-hoof-teuven-te-voeren/,Luik,"Teuven, 3793 Voeren, België",OK,"Kasteel de hoof teuven, Luik, België",,50.7554588,5.8684528,OK,
300,Kasteel van wodemont,https://kastelenbelgie.be/nl/kasteel-van-wodemont-neufchateau-luik/,Vlaams-Brabant,"Wodémont, 4608 Dalhem, België",OK,"Kasteel van wodemont, Vlaams-Brabant, België",,50.70905,5.764113,OK,
299,Kasteel de merode,https://kastelenbelgie.be/nl/kasteel-de-merode-te-dilbeek/,Waals-Brabant,"3078, Prinsendreef 91-93-97, 3078 Kortenberg, België",OK,"Kasteel de merode, Waals-Brabant, België",,50.8810119,4.5659991,OK,
298,Kasteel van braine le chateau,https://kastelenbelgie.be/nl/kasteel-van-braine-le-chateau-kasteelbrakel/,Henegouwen,"Henegouwen, België",OK,"Kasteel van braine le chateau, Henegouwen, België",,50.5257076,4.062101699999999,OK,
297,Kasteel van wemmel,https://kastelenbelgie.be/nl/kasteel-van-wemmel-te-wemmel/,Henegouwen,"Kasteelpark Wemmel, 1780 Wemmel, België",OK,"Kasteel van wemmel, Henegouwen, België",,50.90775989999999,4.3038025,OK,
296,Hof te melis,https://kastelenbelgie.be/nl/hof-te-melis-lippelo/,Luxemburg,België,OK,"Hof te melis, Luxemburg, België",,50.503887,4.469936,OK,
295,Het rood kasteel,https://kastelenbelgie.be/nl/het-rood-kasteel-te-linden/,Luxemburg,België,OK,"Het rood kasteel, Luxemburg, België",,50.503887,4.469936,OK,
294,Kastelen in Luxemburg,https://kastelenbelgie.be/nl/kastelen-luxemburg/,Luxemburg,,SKIPPED_INDEX,,,,,NO_ADDRESS,
293,Kasteel en park,https://kastelenbelgie.be/nl/kasteel-en-park-ter-rijst-te-heikruis/,Namen,"Namen, België",OK,"Kasteel en park, Namen, België",,50.46493340000001,4.864973099999999,OK,
292,Kasteel van Habay-la-Neuve,https://kastelenbelgie.be/nl/kasteel-van-habay-la-neuve-habay-la-neuve/,Henegouwen,"Habay-la-Neuve, 6720 Habay, België",OK,"Kasteel van Habay-la-Neuve, Henegouwen, België",,49.7280718,5.6460452,OK,
291,Burchtruine van Montquintin,https://kastelenbelgie.be/nl/burchtruine-van-montquintin-montquintin-dampicourt/,Henegouwen,"Rue du Château-Fort, 6767 Rouvroy, België",OK,"Burchtruine van Montquintin, Henegouwen, België",,49.548327,5.4720987,OK,
290,Kasteel van haversin,https://kastelenbelgie.be/nl/kasteel-van-haversin-serinchamps/,Henegouwen,"Rue de BARVAUX 179, 5590 Ciney, België",OK,"Kasteel van haversin, Henegouwen, België",,50.25086779999999,5.2037432,OK,
289,Kasteel van skeuvre,https://kastelenbelgie.be/nl/kasteel-van-skeuvre-natoye/,Waals-Brabant,"Begijnenstraat 199, 3300 Tienen, België",OK,"Kasteel van skeuvre, Waals-Brabant, België",,50.8029125,4.9051282,OK,
288,Chateau de la tournette,https://kastelenbelgie.be/nl/chateau-de-la-tournette-nijvel/,Luxemburg,"Chem. de Baudemont 21, 1400 Nivelles, België",OK,"Chateau de la tournette, Luxemburg, België",,50.623695,4.2962369,OK,
287,Kasteel van longchamps,https://kastelenbelgie.be/nl/kasteel-van-longchamps-longchamps-bertogne/,Henegouwen,"Rue du Château 11, 7970 Beloeil, België",OK,"Kasteel van longchamps, Henegouwen, België",,50.55100789999999,3.7300371,OK,
286,Koninklijk kasteel van ciergnon,https://kastelenbelgie.be/nl/koninklijk-kasteel-van-ciergnon-houyet/,Waals-Brabant,"Château Royal de Ciergnon, 5560 Houyet, België",OK,"Koninklijk kasteel van ciergnon, Waals-Brabant, België",,50.1661636,5.1078752,OK,
